Вопрос#01: Добрый день, что предварительно необходимо знать, прежде чем начать курс обучения у вас по программе «трейдинг с нуля до профи»?;Ответ: Данный курс обучения трейдингу разработан для абсолютного новичка, прежде никогда не торговавшего на рынке, поэтому не нужно обладать какими-то определенными знаниями для начала обучения. Необходимо лишь желание и стремление учиться, а также установленная программа Skype и микрофон. И желательно открыть счет у брокера и установить терминал QUIK (я рекомендую его), но вы можете использовать и другой терминал — MetaTrader, Transaq и тд.
Вопрос#02: Здравствуйте Станислав. У какого брокера вы рекомендуете открыть счет для торговли?;Ответ: Со списком рекомендованных брокеров для разных рынков можно ознакомиться в статье по этой ссылке.
Вопрос#03: Какой минимальный депозит на счете нужен для начала обучения и торговли?;Ответ:  На первое время вполне подойдет депозит в 15 т.р. Этой суммы вполне хватит для практики и закрепления полученных знаний. В дальнейшем уже можно будет плавно повышать объемы. Но вы также можете использовать демо-счет и не вносить реальные средства на счет. Или первое время торговать «на бумаге», то есть не выполняя реальный вход в сделку.
Вопрос#04: Можно ли применять знания, полученные после обучения, на рынке FOREX, на криптовалютах и на Американском рынке?;Ответ: Да. Мои методы работают очень хорошо на всех ликвидных рынках. Особенно на Американском рынке и на криптовалютах.
Вопрос#05: Какая гарантия того, что трейдер будет зарабатывать после курсов обучения?;Ответ: Я могу дать гарантии, что вы получите качественное и профессиональное обучение и реально работающую систему, ко которой я в среднем зарабатываю 7-11 % в месяц. После курсов обучения я гарантирую дальнейшую поддержку и всегда сопровождаю ученика до результата. Главное, что требуется от вас, это ваше желание и стремление развиваться, желание трудиться и выполнять все мои рекомендации. Я уверен, что моя обучающая программа самая качественная и эффективная.
Вопрос#06: Можно ли стабильно зарабатывать на трейдинге?;Ответ: Стабильный трейдинг возможен, но никогда не нужно забывать, что трейдинг —  это деятельность, связанная с риском, но при грамотном подходе этот риск можно минимизировать и добиться достаточно стабильного дохода от трейдинга. Это не значит, что каждый месяц будет плюсовым. Главное торговать в плюс, беря в расчет более длительный интервал времени (скажем год). На этом интервале вполне можно зарабатывать в среднем по 7-11 % в месяц или 70 – 150 % годовых. Это тот результат, который показываю я в своей торговле и многие из тех, кто прошел у меня курсы обучения трейдингу.
Вопрос#07: Зачем вы обучаете, если и так зарабатываете торговлей ?;Ответ: Отвечу коротко, выделив несколько основных моментов. 1. Обучение — это дополнительный, безрисковый способ монетизировать свои знания, накопленные за годы торговли, делясь ими с людьми. Всегда нужно стараться искать дополнительные источники дохода и по возможности распределять средства, заработанные от трейдинга, создавая более высокую гарантию безопасности и стабильности на будущее. 2. Обучение  — это новые знакомства. Я формирую команду из учеников, которые показывают хорошие результаты. Подробнее здесь. 3. Это способ лучше структурировать свои собственные знания. Я всегда стараюсь развиваться в данной сфере и мне интересно делиться знаниями с учениками и в своем блоге. 4. У меня всегда было желание помимо трейдинга создать какой-то полезный продукт. Поскольку потратить одну жизнь только на торговлю для меня не слишком интересная затея. А еще, мне нравится обучать, и это не мешает основной деятельности — трейдингу. Поскольку на трейдинг у меня уходит не более часа в день, эту профессию можно прекрасно совмещать с любой другой деятельностью, которая дает возможность находиться недалеко от компьютера.
Вопрос#08: Добрый день, что предварительно необходимо знать, прежде чем начать курс обучения у вас по программе «трейдинг с нуля до профи»?;Ответ: Данный курс обучения трейдингу разработан для абсолютного новичка, прежде никогда не торговавшего на рынке, поэтому не нужно обладать какими-то определенными знаниями для начала обучения. Необходимо лишь желание и стремление учиться, а также установленная программа Skype и микрофон. И желательно открыть счет у брокера и установить терминал QUIK (я рекомендую его), но вы можете использовать и другой терминал — MetaTrader, Transaq и тд.
Вопрос#09: Здравствуйте Станислав. У какого брокера вы рекомендуете открыть счет для торговли?;Ответ: Со списком рекомендованных брокеров для разных рынков можно ознакомиться в статье по этой ссылке.
Вопрос#10: Какой минимальный депозит на счете нужен для начала обучения и торговли?;Ответ:  На первое время вполне подойдет депозит в 15 т.р. Этой суммы вполне хватит для практики и закрепления полученных знаний. В дальнейшем уже можно будет плавно повышать объемы. Но вы также можете использовать демо-счет и не вносить реальные средства на счет. Или первое время торговать «на бумаге», то есть не выполняя реальный вход в сделку.
Вопрос#11: Можно ли применять знания, полученные после обучения, на рынке FOREX, на криптовалютах и на Американском рынке?;Ответ: Да. Мои методы работают очень хорошо на всех ликвидных рынках. Особенно на Американском рынке и на криптовалютах.
Вопрос#12: Какая гарантия того, что трейдер будет зарабатывать после курсов обучения?;Ответ: Я могу дать гарантии, что вы получите качественное и профессиональное обучение и реально работающую систему, ко которой я в среднем зарабатываю 7-11 % в месяц. После курсов обучения я гарантирую дальнейшую поддержку и всегда сопровождаю ученика до результата. Главное, что требуется от вас, это ваше желание и стремление развиваться, желание трудиться и выполнять все мои рекомендации. Я уверен, что моя обучающая программа самая качественная и эффективная.
Вопрос#13: Можно ли стабильно зарабатывать на трейдинге?;Ответ: Стабильный трейдинг возможен, но никогда не нужно забывать, что трейдинг —  это деятельность, связанная с риском, но при грамотном подходе этот риск можно минимизировать и добиться достаточно стабильного дохода от трейдинга. Это не значит, что каждый месяц будет плюсовым. Главное торговать в плюс, беря в расчет более длительный интервал времени (скажем год). На этом интервале вполне можно зарабатывать в среднем по 7-11 % в месяц или 70 – 150 % годовых. Это тот результат, который показываю я в своей торговле и многие из тех, кто прошел у меня курсы обучения трейдингу.
Вопрос#14: Зачем вы обучаете, если и так зарабатываете торговлей ?;Ответ: Отвечу коротко, выделив несколько основных моментов. 1. Обучение — это дополнительный, безрисковый способ монетизировать свои знания, накопленные за годы торговли, делясь ими с людьми. Всегда нужно стараться искать дополнительные источники дохода и по возможности распределять средства, заработанные от трейдинга, создавая более высокую гарантию безопасности и стабильности на будущее. 2. Обучение  — это новые знакомства. Я формирую команду из учеников, которые показывают хорошие результаты. Подробнее здесь. 3. Это способ лучше структурировать свои собственные знания. Я всегда стараюсь развиваться в данной сфере и мне интересно делиться знаниями с учениками и в своем блоге. 4. У меня всегда было желание помимо трейдинга создать какой-то полезный продукт. Поскольку потратить одну жизнь только на торговлю для меня не слишком интересная затея. А еще, мне нравится обучать, и это не мешает основной деятельности — трейдингу. Поскольку на трейдинг у меня уходит не более часа в день, эту профессию можно прекрасно совмещать с любой другой деятельностью, которая дает возможность находиться недалеко от компьютера.
Вопрос#15: Why do you making trading?;Answer: I like it
